username	uid	count	places
@DrScottDentist	2410352	1	auckland
@JCdelValle	905267	1	mexicocity
@JFCoulon	1822394	1	paris
@LS@	2046159	2	london,paris
@Pierre	486903	1	paris
@aurizasalim	686074	1	jakarta
@camel__white	2015094	1	istanbul
@dL	426180	2	cyprus,jerusalem
@dave	2868793	1	kathmandu
@eldang	1800769	1	jerusalem
@irvb	701999	1	paris
@kevin_bullock	883016	4	bayarea,buenosaires,jerusalem,kathmandu
@lecz	966245	1	berlin
@leg	546817	1	moscow
@linux_loco	444364	1	chicago
@massinenna	1949377	1	buenosaires
@mdp	2660275	1	kathmandu
@mpt	2868883	1	kathmandu
@ngel	1778230	1	boston
@nt	1924772	1	bayarea
@peterokwara	3213901	1	nairobi
@rafszul	1993136	1	london
@rjhordan	541424	1	rio
@rthemis	1055434	1	paris
@rthy	1803006	2	moscow,paris
@ゆうせい	2789968	1	tokyo
A & M Services	1812197	1	montreal
A G	861149	1	montreal
A Gewali	2897892	1	kathmandu
A Linstrum 	302341	1	toronto
A O	425742	1	nairobi
A Solution Co Ltd	1758189	1	nairobi
A T R Birkett	1976630	1	manchester
A Warnock	1532724	1	sydney
A'mer Rabayah	67008	1	jerusalem
A(i)rpenteur	453203	1	paris
A-25	468814	1	moscow
A-Joaquin	3384377	1	mexicocity
A-Whitmore	600742	1	chicago
A-lex-W	3255141	1	moscow
A-n-d-y	709128	1	auckland
A-xis	1386533	1	paris
A10dep	3093845	1	amsterdam
A1ik	443004	1	toronto
A3n1t3o5n7	3386621	1	crimea
A452	1731946	1	jerusalem
A5C08	2415650	1	moscow
A67-A67	553736	1	amsterdam
AABert	222305	1	moscow
AAH96	2014627	1	seattle
AAS	275851	1	istanbul
AASSET	2594554	1	paris
AAmadeus	698023	1	paris
AB NETT SERVICES	1947974	1	paris
ABRob	104779	6	amsterdam,berlin,london,losangeles,moscow,vancouver
ABaezaF	2269922	1	barcelona
ABalssa	710201	1	paris
ABausD	27194	1	berlin
ABbIRVALG	370871	1	moscow
ABernatsky	1026539	1	moscow
ABetterToday	2847790	1	london
ABrejeon	1461463	1	paris
ABsTraCt cafe oz	2219245	1	sydney
AC de Souza	620235	1	rio
ACE3989	84448	1	newyork
ACExotic	3085882	1	crimea
ACHOUR	1393845	1	paris
ACM	20372	1	london
ACS1986	2018957	2	london,manchester
ACTION94130	1574982	1	paris
ACTRONIC	341635	1	moscow
ACarangi	1828716	1	newyork
ACervantes	2416575	1	vancouver
AChM	1401653	1	santiago
AClayman	2883152	1	kathmandu
ACodispo	630809	1	boston
AColgan	1941929	1	quebec
ACrow	672019	1	bayarea
AD Ac Versailles (ÉN)	789083	1	paris
AD06	604884	1	paris
AD206	2559994	1	seattle
AD5	2880541	1	seattle
AD93200	610780	1	paris
ADAVEL	3203620	1	london
ADCrawley	65989	1	london
ADF 249	2392922	1	barcelona
ADF AdRi 462	3028320	1	barcelona
ADFSCC3	2483513	1	barcelona
ADIGUZELDOGUKAN	2634754	1	istanbul
ADIP1598	3412446	1	jakarta
ADITmax	1900122	1	vancouver
ADJOGBLE Emmanuel	1799293	1	haiti
ADM79	1479407	1	london
ADMcD	128322	1	london
ADSLLC	440010	1	chicago
ADSS-IT	2456158	1	crimea
ADVGIS	1295000	1	newyork
ADawson	1213917	1	chicago
ADv	413749	1	moscow
AE35	21323	25	amsterdam,barcelona,bayarea,berlin,buenosaires,cairo,chicago,crimea,cyprus,haiti,istanbul,jerusalem,kathmandu,london,losangeles,minsk,nairobi,newyork,paris,santiago,seattle,sydney,tirana,tokyo,yaounde
AEM	91051	1	paris
AETNG	1811953	1	haiti
AE_JLL	475933	1	bayarea
AEelderink	1331238	1	amsterdam
AEichhorn	155816	1	berlin
AEmrah	546730	1	istanbul
AF-ddb	37522	2	berlin,moscow
AFCA	2527020	1	amsterdam
AG71	2785424	1	london
AGHNYC	106815	1	newyork
AGTerritorio	441350	1	paris
AGWA	136211	1	bayarea
AGdk	596531	1	berlin
AGee	510099	1	amsterdam
AGerheimer	2017085	1	berlin
AGerwi	476478	1	berlin
AGioN	402084	1	moscow
AGoetzmann	1418161	1	berlin
AGuevaraG	132599	1	mexicocity
AHB1020	2812612	1	newyork
AHMED WAGDI	496666	1	cairo
AHMT	1704826	1	istanbul
AHPN	2046450	1	barcelona
AHTOH	204562	3	crimea,moscow,tokyo
AHa972	3501590	1	jerusalem
AHarken	634751	1	newyork
AHeneen	2058761	1	miami
AHerrera	1122654	1	santiago
AI6PG	236938	1	losangeles
AIR-SAM	1065637	1	paris
AIST_YOKOTA	3330407	1	tokyo
AJ Farkas	2883435	1	kathmandu
AJ Lund	83873	1	london
AJ357	1960817	1	barcelona
AJA21	2795250	1	paris
AJAYFULWARIYA	2482809	1	mumbai
AJBerlin	1969181	1	berlin
AJCLARK	2939936	1	london
AJGL	2725751	1	london
AJMapes	608438	1	newyork
AJRalhambra	2061894	1	losangeles
AJRuk	223002	2	haiti,london
AJUPS	1890105	1	mumbai
AJ_LA	2503012	7	bayarea,chicago,lasvegas,losangeles,miami,newyork,toronto
AJoNee	39890	4	berlin,london,newyork,paris
AK-tr	423868	1	istanbul
AK1000	650871	1	tokyo
AK2010	359617	1	paris
AK47Xeall	884128	1	auckland
AK991	2765498	1	moscow
AKBTanner	2869574	1	kathmandu
AKC	64065	3	chicago,miami,vancouver
AKDharam	3139319	1	nairobi
AKE Amazan	1586794	1	kathmandu
AKHilario	1232726	1	santiago
AKIN idil	798931	1	istanbul
AKJo	656396	2	barcelona,losangeles
AKLAB	2518150	1	chicago
AKOK	1683477	1	bayarea
AKQJTs	672960	1	minsk
AKao42	624932	1	bayarea
AKasatkin	2215129	1	moscow
AKeats	95410	1	sydney
AKhranovskiy	231156	1	moscow
AKnuth	84007	1	newyork
AKoine	521966	1	paris
AKz	139384	1	moscow
AL127	2242413	1	chicago
AL68	1745073	1	paris
ALADDIN111	1253108	1	istanbul
ALAMBAS	247674	1	toronto
ALAPATI73	557086	1	sydney
ALAdin	479445	1	berlin
ALCE Samuel Paul	441065	3	haiti,miami,montreal
ALE!	40023	8	barcelona,berlin,boston,buenosaires,haiti,newyork,paris,santiago
ALEAGUILERADE	2275787	1	santiago
ALEBI89	2304250	1	montevideo
ALEX3734	1949527	1	crimea
ALPER70	2717679	1	istanbul
ALQemma Systems	3209371	1	jerusalem
ALTERINI ANDREA	2981788	1	buenosaires
ALTUS3D	138279	1	moscow
ALZH	2643389	3	crimea,moscow,sydney
ALeDonne	122516	8	bayarea,boston,chicago,mexicocity,miami,newyork,quebec,seattle
ALeX TORERO	516724	1	moscow
ALongobardi	2085942	1	buenosaires
AM2815	3275446	1	london
AM909	82317	8	bayarea,chicago,lasvegas,losangeles,mexicocity,miami,newyork,seattle
AMADANON	157276	1	auckland
AMAN VISHWAKARMA	2482792	1	mumbai
AMB	172180	4	barcelona,london,manchester,paris
AMDE	726826	1	newyork
AMDmi3	133332	3	crimea,minsk,moscow
AMEDL	1725973	1	boston
AMHoff27	199403	1	newyork
AMPM	3006427	1	newyork
AMPM Car Rentals	1867471	1	losangeles
AMRACK	2336082	1	minsk
AMSAdmin	3192923	1	seattle
AMWigan	1882123	1	manchester
AMY-jin	838709	5	bayarea,lasvegas,losangeles,seattle,vancouver
AMY7	2877389	1	losangeles
AMYunus	2222790	1	jakarta
AM_01730	1504251	1	paris
AMac	227054	1	london
AMarieH	2275651	1	london
AMcCann	238520	1	manchester
AMehn	2907207	1	seattle
AMouthyPotato	2354418	1	seattle
ANALYLEONTAPIA	1655210	1	mexicocity
AND	12946	2	amsterdam,mumbai
ANDREA1978	3373040	1	buenosaires
ANDREY888	395697	1	crimea
ANDROSHA	2672478	1	crimea
AND_fixbot	211771	1	amsterdam
ANDborders2	74773	3	amsterdam,london,paris
ANGELOUSK	2513005	1	mexicocity
ANIBAL1234	681208	1	buenosaires
ANIKET DAWKHAR	3339378	1	mumbai
ANM	380950	1	paris
ANNAB22	1931574	1	paris
ANTONIOPS	2430075	1	london
ANZACpete	172069	1	auckland
AN_DP	3324029	2	montreal,quebec
ANovitsky	2785209	1	minsk
AOEspiritu	1813957	1	vancouver
AOOSP	2050916	1	jakarta
AOleg	97465	2	crimea,moscow
AP11211	840804	1	newyork
APAssociates	1363264	1	toronto
APGP	2781453	1	paris
APLIE	720529	1	london
APLmath	93871	1	bayarea
APO1986	959337	1	paris
APPER	8768	1	berlin
APPMASTER	568615	1	london
APS2201	459638	1	jakarta
APUGEAUX	2530203	1	douala
APWIKI	2369478	1	seoul
APavolotsky	2430936	1	moscow
AQUARIUS	479964	1	minsk
ARAF	2104564	1	paris
ARCH33	2011723	1	paris
ARCK9Kathy	2884070	1	kathmandu
ARChisholm	1361318	3	chicago,haiti,newyork
ARD-HSB	428413	1	berlin
ARES 500	2937216	1	crimea
ARGUN1	3083898	1	istanbul
ARJCHA	1118696	1	paris
ARM07470	639459	1	newyork
ARM85	1296740	1	kathmandu
ARNAK	3026677	1	moscow
AROM	221907	1	paris
ARQZAM	3305584	1	mexicocity
ARS panta	2518299	1	kathmandu
ARSLAN OZGUR ISTANBULLUOGLU	213561	1	istanbul
ARTAPRO	416054	1	minsk
ARTECO GmbH	151492	1	berlin
ARTERIX7	697778	1	santiago
ARTigAR	1827136	1	berlin
ARULE	362033	1	haiti
ARachel1	2414556	1	newyork
ARiddZ	1103322	1	toronto
ARizqiP	2297563	1	jakarta
ARudy	2869834	1	kathmandu
AS Web Design	3051483	1	tirana
AS1	94442	1	toronto
ASBrenner	1211748	1	losangeles
ASC-Potsdam	146205	1	berlin
ASDCVI	1603641	1	jerusalem
ASDOC	3522485	1	haiti
ASLI SABUNCU	2864009	1	kathmandu
ASLog	1733236	1	moscow
ASM	127208	1	moscow
ASN	166687	1	mexicocity
ASSAFMB	2083801	1	jerusalem
AST62	1205852	1	amsterdam
ASTCA	2382064	1	sydney
ASTRODOMI	108870	1	buenosaires
